iso3,name,Time,enrolment_primary_female,enrolment_lower-secondary_female,enrolment_upper-secondary_female,enrolment_upper-secondary_male,enrolment_primary_male,enrolment_lower-secondary_male,primary_female,primary_male,lower-secondary_female,lower-secondary_male,upper-secondary_female,upper-secondary_male,region,academic_break,closed,open,partially_closed,tv,radio,internet
PER,Peru,2019.0,1826267.0,865710.0,520867.0,533917.0,1888863.0,905294.0,1826267.0,1888863.0,865710.0,905294.0,520867.0,533917.0,Latin America and Caribbean,34.0,77.0,3.0,121.0,True,True,True
PHL,Philippines,2019.0,6350362.0,4156496.0,1586395.0,1437888.0,6844726.0,4165933.0,6505655.0,6802859.0,4108231.0,4374551.0,2007287.0,2150357.0,East Asia and Pacific,91.0,141.0,0.0,3.0,True,True,True
POL,Poland,2018.0,1103020.0,536110.0,617867.0,671825.0,1174463.0,566551.0,1145219.0,1205484.0,536110.0,566551.0,617867.0,671825.0,Western Europe,58.0,96.0,42.0,39.0,True,False,True
PRT,Portugal,2018.0,300441.0,176486.0,198603.0,202447.0,321219.0,189558.0,300441.0,321219.0,176486.0,189558.0,198603.0,202447.0,Western Europe,84.0,34.0,84.0,33.0,True,False,True
QAT,Qatar,2019.0,78020.0,30422.0,26557.0,28640.0,81089.0,31750.0,78020.0,81089.0,30422.0,31750.0,27506.0,36191.0,Middle East and North Africa,66.0,68.0,0.0,101.0,True,False,True
ROU,Romania,2018.0,458681.0,350885.0,358286.0,369625.0,489250.0,379152.0,527562.0,557954.0,400490.0,422922.0,394700.0,418761.0,Eastern Europe and Central Asia,78.0,108.0,0.0,49.0,True,False,True
RUS,Russian Federation,2018.0,3361128.0,3574896.0,1351385.0,1536735.0,3566852.0,3779388.0,3361128.0,3566852.0,3574896.0,3779388.0,1351385.0,1536735.0,Eastern Europe and Central Asia,68.0,0.0,102.0,65.0,True,False,True
RWA,Rwanda,2019.0,1243469.0,261223.0,129190.0,121776.0,1268996.0,219915.0,1243469.0,1268996.0,432546.0,429178.0,397264.0,392907.0,Eastern and Southern Africa,10.0,137.0,15.0,73.0,True,True,True
KNA,Saint Kitts and Nevis,2016.0,2688.0,1285.0,861.0,778.0,2764.0,1251.0,2688.0,2764.0,1285.0,1251.0,861.0,778.0,Latin America and Caribbean,82.0,55.0,98.0,0.0,False,False,False
LCA,Saint Lucia,2019.0,7813.0,3255.0,2325.0,2379.0,7880.0,3435.0,7813.0,7880.0,3624.0,3686.0,2672.0,2697.0,Latin America and Caribbean,63.0,100.0,20.0,52.0,False,True,True
VCT,Saint Vincent and the Grenadines,2018.0,6513.0,2941.0,1857.0,1651.0,6685.0,3359.0,6513.0,6685.0,2941.0,3359.0,1806.0,1936.0,Latin America and Caribbean,54.0,50.0,77.0,54.0,False,False,True
WSM,Samoa,2016.0,15783.0,4598.0,8556.0,7969.0,16846.0,4841.0,15783.0,16846.0,4598.0,4841.0,9266.0,10008.0,East Asia and Pacific,40.0,21.0,174.0,0.0,True,True,True
SMR,San Marino,2019.0,819.0,451.0,316.0,386.0,834.0,521.0,819.0,834.0,451.0,521.0,726.0,807.0,Western Europe,76.0,64.0,95.0,0.0,False,False,False
STP,Sao Tome and Principe,2017.0,18093.0,8565.0,5184.0,4257.0,19079.0,7869.0,18093.0,19079.0,8565.0,7869.0,6631.0,6762.0,West and Central Africa,90.0,42.0,81.0,22.0,True,True,False
SAU,Saudi Arabia,2019.0,1679409.0,755328.0,715848.0,887518.0,1711180.0,800664.0,1679409.0,1711180.0,755328.0,800664.0,715848.0,887518.0,Middle East and North Africa,72.0,163.0,0.0,0.0,True,False,True
SEN,Senegal,2019.0,1144547.0,423428.0,181846.0,177695.0,1027420.0,366875.0,1306802.0,1339555.0,736821.0,752204.0,495380.0,502333.0,West and Central Africa,63.0,63.0,62.0,47.0,True,False,True
SRB,Serbia,2019.0,127746.0,133243.0,125342.0,128759.0,136448.0,141414.0,128267.0,136869.0,133935.0,141435.0,138281.0,146046.0,Eastern Europe and Central Asia,74.0,77.0,84.0,0.0,True,False,True
